price,year,make,model,bodytype,transmission,odometer,drivetrain,age,annual_km
20995,2012,Jeep,Grand,SUV,Automatic,175526,4x4,11,15956
32789,2019,Nissan,Rogue,SUV,Automatic,15211,awd,4,3802
14995,2007,Toyota,Fj,SUV,Automatic,378485,4x4,16,23655
42387,2018,Volkswagen,Golf,Hatchback,Automatic,44004,awd,5,8800
34890,2017,Honda,Cr-v,SUV,Automatic,59282,awd,6,9880
12500,2014,Hyundai,Sonata,Sedan,Automatic,179431,fwd,9,19936
19995,2012,Mercedes-benz,E-class,Sedan,Automatic,181800,awd,11,16527
19995,2012,Bmw,X5,SUV,Automatic,175917,awd,11,15992
24910,2014,Toyota,Avalon,Sedan,Automatic,67182,fwd,9,7464
38900,2020,Toyota,Rav4,SUV,Automatic,20179,awd,3,6726
39999,2018,Toyota,Rav4,SUV,Automatic,61487,awd,5,12297
33878,2014,Jeep,Wrangler,SUV,Manual,90437,other,9,10048
40387,2017,Chevrolet,Silverado,Truck,Automatic,75133,4x4,6,12522
36888,2019,Honda,Cr-v,SUV,Automatic,72230,awd,4,18057
38950,2020,Toyota,Rav4,SUV,Automatic,11235,awd,3,3745
23887,2015,Kia,Soul,Wagon,Automatic,21742,fwd,8,2717
18700,2011,Honda,Cr-v,SUV,Automatic,127992,4x4,12,10666
32750,2019,Honda,Cr-v,SUV,Automatic,42130,fwd,4,10532
28500,2015,Honda,Pilot,SUV,Automatic,103976,4x4,8,12997
29888,2019,Ford,Escape,SUV,Automatic,55447,4x4,4,13861
24387,2020,Hyundai,Elantra,Sedan,Automatic,44021,fwd,3,14673
21999,2014,Chevrolet,Silverado,Truck,Automatic,117000,4x4,9,13000
39888,2019,Mercedes-benz,Cla,Coupe,Automatic,36926,awd,4,9231
28990,2016,Nissan,Murano,SUV,Automatic,88760,awd,7,12680
14950,2006,Lexus,Rx,SUV,Automatic,142231,awd,17,8366
12500,2008,Toyota,Rav4,SUV,Automatic,190210,awd,15,12680
36888,2019,Toyota,Rav4,SUV,Automatic,32680,awd,4,8170
38601,2015,Lexus,Nx,SUV,Automatic,84512,awd,8,10564
